Nashe Si Chadh Gayi
Haseeno Ka Deewana
Ki Kariye Nachna Aaonda Nahi
Cutiepie
The Breakup Song
Kala Chasma
Beat pe Booty
Baby Ko Bass Pasand Hai
Nachange Saari Raat – Junooniyat
Pyar Ki
Kar Gayi Chull
Dj Wale Babu Mera Ganna Bja De
High Heels Te Nachche
Let’s Nacho
Rock Tha Party
Dil Cheez Tujhe dedi
Mai Hu Superman – Tevar
Yaar naa mile
Jumme ki raat
Malhari
Sharabi – Pyaar Ka Punchnama 2
Matargashti
India waale
Banno Tera Swetar Laage Sexy
Ghani Bawri
Abhi to Part Shuru Hui Hai
Baby Ka Hai Birthday Bash
Gf
Dil Dhadakne Do
Aa Jao Raja
Paani Wala dance
Jee Karda
Dance basanti
Bang bang
Lovely
Tu meri
Blame the night
Tune maari entriyaan
Asalaam e ishqum
Baby doll
Chaar botal vodka
Abhi tho party shuru hui hai
Engine ki seeti
Patakha guddi
Saturday Saturday
Drama queen
Manali trance
Whistle baja
Gallan goodhiya
Girls like to swing
Fifi
Jee karda
Ghani bawri
Banoo
Sooraj doobha hain
Chittiyan kalaiyaan
Bezubaan phir se
Sun saathiya
Mera naam mery
Selfie le le
Nachan farrate
G Phaad Ke – Happy Ending
Keeda- Action Jackson
Sinbad the Sailor
Barson Yaaron
O Meri Jaan
Saadda Haq
Breathless
Hairat
Dhunki
Ab ke saawan
Saawan me lag gayi aag
Aasmaan hai neela
Rut aa gyi Rey
Main mast hoon
Maaheroo
Bijuriya bijuriya
Baras jaa aye baadal baras jaa
Jee karda
Sadda Haq
Zinda
Malhori
Befikr
Aadat (Kalyug)
Jiya Dhadak Dhadak (Kalyug)
Aap Ki Kashish (Aashiq Banaya Aapne)
Roobaroon (Rang De Basanti)
Woh Lamhe (Zeher)
Bheegi Bheegi Si Hain Baatein (Gangster)
Tu hi Meri Shab Hain (Gangster)
Ya Ali (Gangster)
Kya Mujhe Pyaar Hain (Woh Lamhe)
Firta Rahun (Killer)
Maa (Taare Zameen Par)
Kholo Kholo Darwaazein (Taare Zameen Par)
Tum Se Hi (Jab We Met)
Aankhon Me Teri (Om Shanti Om)
In Dino (Metro)
Alvida (Metro)
Ek Din (Naqaab)
Pichle Saat Dino Me (Rock On)
Zara Sa (Jannat)
Haan Tu Hain (Jannat)
Is this Love (Kismat Konnection)
Pehli Nazar Mein (Race)
Zara Zara (Race)
Khuda Jaane Ke (Bachna Ae Haseeno)
Bhootni Ke (Singh is Kinng)
Bas Ek King (Singh is Kinng)
Desi Girl (Dostana)
Jaane Kyun (Dostana)
Guzaarish (Ghajini)
Kaise Mujhe Tum Mil Gayi (Ghajini)
Maahi (Raaz 2)
Soniyo (Raaz 2)
Nayan Tarse (Dev D)
Emotional Atyachar (Dev D)
Duniya (Dev D)
Pardesi (Dev D)
Saali Khushi (Dev D)
Give me some sunshine (3 Idiots)
Behti Hawa Sa Tha Wo (3 Idiots)
Pee loon (Once Upon A Time In Mumbai)
Ainvayi Ainvayi (Band Baaja Baraat)
Hairat (Anjaana Anjaani)
Jab Mila Tu ( I Hate Luv Storys)
Bin Tere (I Hate Luv Storys)
Mere Bina (Crook)
Sadi Gali (Tanu Weds Manu)
Hal-e-dil (Murder 2)
Phir Mohabbat (Murder 2)
Nadaan Parinde (Rockstar)
Sadda Haq (Rockstar)
Jo Bhi Main (Rockstar)
Kun Faaya Kun (Rockstar)
Pani Da Rang (Vicky Donor)
Jannatein Kahan (Jannat 2)
Sunn Raha Hain (Aashiqui 2)
Chahun Main Ya Na (Aashiqui 2)
Tum hi ho (Aashiqui 2)
Teri Jhuki Nazar (Murder 3)
Galliyaan (Ek Villain)
Jo tu mera hamdard hain (Ek Villain)
Tere Hoke Rahenge (Raja Natwarlal)
Samjhawan (Humpty Sharma ki Dulhaniya)
Lucky Tu Lucky Me (Humpty Sharma ki Dulhaniya)
Saturday Saturday (Humpty Sharma ki Dulhaniya)
Sunny Sunny (Yaariyan)
Baarish (Yaariyan)
Palat (Main Tera Hero)
Baby Doll (Ragini MMS 2)
Chaar Botal Vodka (Ragini MMS 2)
Kabhi Jo Baadal Barse (Jackpot)
Jeena Jeena (Badlapur)
Banno Tera Swagger (Tanu Weds Manu 2)
Aankhon Aankhon (Bhaag Johnny)
Sharabi (Pyar ka Punchnama 2)
Heeriye (Pyar ka Punchnama 2)
Tumhe Apna Banena ka (Hate Story 3)
Gulaabo (Shaandaar)
440 Volt (Sultan)
Jag Ghumeya (Sultan)
Kar Gayi Chull (Kapoor and sons)
Jab Tak (MS Dhoni)
Besabriyaan (MS Dhoni)
Kaun Tujhe (MS Dhoni)
Parwah Nahi (MS Dhoni)
Tere Sang Yaara (Rustom)
Soch Na Sake (Airlift)
Channa Mereya (Ae Dil Hain Mushkil)
Breakup Song (Ae Dil Hain Mushkil)
Bulleya (Ae Dil Hain Mushkil)
Bol Do Naa Zara (Azhar)
Main Rahun Yaa Naa Rahun (Album)
Nashe Si Chad Gayi (Befikre)
Kaala Chashma (Baar Baar Dekho)
Aashiq Surrender Hua (Badrinath ki Dulhaniya)
Tamma Tamma (Badrinath ki Dulhaniya)
Sona (Ok Jaanu)
Galti se Mistake (Jagga Jaasos)
Phir bhi tumko chahunga (Half Girlfriend)
Dilbaro (Raazi)
Dilbar (Satyamev Jayate)
